###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010

Used EcuDefinition file: MED9_0261S02469.ecu

ECU identified with following data:
HWNumber    = 1K0907115S       (requested was 1K0907115S)
SWNumber    = 0261S02469       (requested was 0261S02469)
PartNumber  = 1K0907115S       (requested was 1K0907115S)
SWVersion   = 0001             (requested was 0001)
EngineId    = 2.0L R4/4V TFSI  (requested was 2.0L R4/4V TFSI)
VAGHWNumber = 1K0907115S
ModelId     = MED9.1

Log packet size: 40 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  15.06.2024 14:30:00.000

TIME          , nmot_w        , rl_w          , mshfm_w       , uhfm_w        , fr_w          , fra_w         , wdkba         , B_lr          , lamsbg_w      , lamsoni_w     , ti_w          , gangi         , pus_w         , rl            
sec.ms        , 1/min         , %             , kg/h          , V             , -             , -             , % DK          ,               , -             , -             , s             , gear          , hPa           , %             
"TIME","EngineSpeed","EngineLoad","MassAirFlow","MAFVoltage","LambdaControl","AdaptationPartial","ThrottlePlateAngle","LambdaControlActive","AirFuelRatioRequired","AirFuelRatioCurrent","InjectionTime","SelectedGear","AtmosphericPressure","ActualLoad"
     0.000,      761.8,     24.742,      1.850,    1.24124,   0.995284,   0.977974,     3.6189,          1,   1.000000,   0.998759,   0.002045,          0,     1013.9,     25.005
     0.050,      758.7,     25.442,      2.060,    1.23229,   1.010522,   0.972763,     3.2952,          1,   1.000000,   0.993908,   0.002006,          0,     1012.9,     25.521
     0.100,      766.4,     25.762,      2.053,    1.21076,   1.012759,   0.974577,     3.1381,          1,   1.000000,   0.997090,   0.002015,          0,     1012.1,     25.438
     0.150,      766.8,     26.288,      2.001,    1.17420,   1.017476,   0.974300,     3.6321,          1,   1.000000,   0.974769,   0.001960,          0,     1012.6,     26.328
     0.200,      771.2,     26.831,      1.960,    1.21849,   1.005649,   0.983640,     3.6730,          1,   1.000000,   0.996805,   0.001973,          0,     1012.1,     27.180
     0.250,      769.9,     27.171,      2.060,    1.22976,   1.025111,   0.974109,     3.6195,          1,   1.000000,   0.999998,   0.002035,          0,     1012.0,     26.919
     0.300,      782.4,     27.005,      2.087,    1.25057,   1.031882,   0.982621,     3.3303,          1,   1.000000,   0.999152,   0.001950,          0,     1012.7,     27.272
     0.350,      777.5,     27.614,      2.265,    1.19788,   1.028556,   0.978842,     3.2307,          1,   1.000000,   0.997498,   0.002028,          0,     1010.4,     27.788
     0.400,      775.1,     27.939,      2.193,    1.18055,   1.004255,   0.972808,     3.3323,          1,   1.000000,   0.992062,   0.001982,          0,     1012.5,     27.823
     0.450,      774.1,     28.221,      2.165,    1.23282,   1.017942,   0.977520,     3.7182,          1,   1.000000,   1.001545,   0.002053,          0,     1014.8,     27.691
     0.500,      779.5,     28.287,      2.182,    1.21309,   1.024446,   0.976521,     3.3501,          1,   1.000000,   0.989961,   0.002079,          0,     1015.0,     27.856
     0.550,      779.9,     28.320,      2.232,    1.22770,   1.003797,   0.972206,     3.4271,          1,   1.000000,   0.981928,   0.001970,          0,     1013.4,     28.705
     0.600,      776.2,     27.832,      2.154,    1.24082,   1.023702,   0.979407,     3.7851,          1,   1.000000,   0.994319,   0.002051,          0,     1013.5,     27.732
     0.650,      777.0,     27.424,      2.096,    1.26571,   1.016240,   0.980072,     3.6395,          1,   1.000000,   0.992374,   0.001988,          0,     1012.3,     27.748
     0.700,      772.8,     27.446,      2.086,    1.22301,   0.994302,   0.973367,     3.3261,          1,   1.000000,   0.997295,   0.001969,          0,     1014.5,     27.044
     0.750,      765.7,     26.927,      2.082,    1.24468,   1.018958,   0.974726,     3.4823,          1,   1.000000,   0.993239,   0.002001,          0,     1011.0,     27.471
     0.800,      770.8,     26.467,      2.116,    1.20191,   1.021667,   0.982162,     3.5634,          1,   1.000000,   0.990654,   0.002078,          0,     1012.4,     26.658
