###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010

Used EcuDefinition file: MED9_0261S02469.ecu

ECU identified with following data:
HWNumber    = 1K0907115S       (requested was 1K0907115S)
SWNumber    = 0261S02469       (requested was 0261S02469)
PartNumber  = 1K0907115S       (requested was 1K0907115S)
SWVersion   = 0001             (requested was 0001)
EngineId    = 2.0L R4/4V TFSI  (requested was 2.0L R4/4V TFSI)
VAGHWNumber = 1K0907115S
ModelId     = MED9.1

Log packet size: 40 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  15.06.2024 14:35:00.000

TIME          , nmot_w        , rl_w          , rlsol_w       , mshfm_w       , pvdks_w       , plsol_w       , ldtvm         , wped_w        , wdkba         , gangi         , vfil_w        , tmot          , tans          , pus_w         , fr_w          , lamsbg_w      , lamsoni_w     , ti_w          
sec.ms        , 1/min         , %             , %             , kg/h          , hPa           , hPa           , %TV           , % PED         , % DK          , gear          , km/h          , Grad C        , Grad C        , hPa           , -             , -             , -             , s             
"TIME","EngineSpeed","EngineLoad","EngineLoadRequested","MassAirFlow","BoostPressureActual","BoostPressureSpecified","WastegateDutyCycle","AccelPedalPosition","ThrottlePlateAngle","SelectedGear","VehicleSpeed","CoolantTemperature","IntakeAirTemperature","AtmosphericPressure","LambdaControl","AirFuelRatioRequired","AirFuelRatioCurrent","InjectionTime"
     0.000,     2495.2,     34.850,     37.105,     11.471,      784.2,     1013.0,       0.00,    40.0000,    32.8000,          3,     59.537,       88.5,       28.2,     1014.6,   0.997730,   1.000000,   1.024890,   0.001891
     0.050,     2499.0,     34.811,     36.993,     11.586,      778.8,     1013.0,       0.00,    40.6000,    33.2920,          3,     59.614,       88.5,       27.2,     1011.8,   1.005400,   1.000000,   1.024285,   0.001956
     0.100,     2520.8,     35.060,     36.783,     11.387,      804.2,     1013.0,       0.00,    41.2000,    33.7840,          3,     60.090,       88.5,       27.5,     1012.5,   0.996206,   1.000000,   0.996244,   0.001937
     0.150,     2544.2,     35.053,     36.404,     11.306,      778.0,     1013.0,       0.00,    41.8000,    34.2760,          3,     61.606,       88.5,       28.0,     1012.2,   0.994065,   1.000000,   0.992022,   0.001969
     0.200,     2547.0,     35.168,     36.275,     11.747,      786.0,     1013.0,       0.00,    42.4000,    34.7680,          3,     61.783,       88.5,       27.7,     1013.2,   0.995293,   1.000000,   1.014268,   0.001886
     0.250,     2596.2,     35.079,     37.167,     11.697,      816.7,     1013.0,       0.00,    43.0000,    35.2600,          3,     62.012,       88.5,       28.4,     1013.2,   1.007992,   1.000000,   0.993429,   0.001889
     0.300,     2634.3,     34.755,     37.262,     11.814,      809.5,     1013.0,       0.00,    43.6000,    35.7520,          3,     62.311,       88.5,       28.2,     1012.3,   0.994594,   1.000000,   1.004171,   0.002029
     0.350,     2633.3,     34.662,     36.713,     12.035,      792.9,     1013.0,       0.00,    44.2000,    36.2440,          3,     62.772,       88.5,       27.3,     1014.6,   0.997287,   1.000000,   0.984317,   0.001883
     0.400,     2691.7,     35.445,     36.996,     12.242,      786.3,     1013.0,       0.00,    44.8000,    36.7360,          3,     64.340,       88.5,       27.4,     1014.2,   0.995318,   1.000000,   0.985622,   0.001940
     0.450,     2719.7,     35.051,     36.961,     12.488,      806.4,     1013.0,       0.00,    45.4000,    37.2280,          3,     64.592,       88.5,       28.7,     1013.4,   1.002993,   1.000000,   0.970406,   0.001881
     0.500,     2754.6,     35.375,     37.588,     12.816,      809.0,     1013.0,       0.00,    46.0000,    37.7200,          3,     65.005,       88.5,       28.9,     1013.2,   1.006320,   1.000000,   1.006354,   0.001953
     0.550,     2783.2,     35.316,     37.358,     12.493,      794.8,     1013.0,       0.00,    46.6000,    38.2120,          3,     65.598,       88.5,       28.2,     1012.4,   1.004687,   1.000000,   1.011207,   0.002002
     0.600,     2823.8,     36.108,     38.237,     13.038,      803.7,     1019.6,       0.52,    47.2000,    38.7040,          3,     67.387,       88.5,       28.4,     1012.1,   0.999260,   1.000000,   0.981920,   0.001933
     0.650,     2849.8,     38.140,     39.485,     14.185,      819.0,     1031.9,       1.51,    47.8000,    39.1960,          3,     68.441,       88.5,       28.5,     1014.0,   1.004674,   1.000000,   1.012931,   0.002084
     0.700,     2885.0,     40.512,     42.180,     14.460,      854.3,     1044.3,       2.45,    48.4000,    39.6880,          3,     69.962,       88.5,       28.1,     1012.0,   1.001126,   1.000000,   0.971403,   0.002160
     0.750,     2925.9,     41.739,     44.189,     15.688,      840.3,     1056.7,       3.45,    49.0000,    40.1800,          3,     69.118,       88.5,       28.4,     1012.3,   1.000559,   1.000000,   0.969187,   0.002333
     0.800,     2957.3,     43.672,     45.671,     17.422,      882.6,     1069.2,       4.32,    49.6000,    40.6720,          3,     70.993,       88.5,       28.5,     1014.2,   1.001610,   1.000000,   0.974531,   0.002427
     0.850,     3013.1,     46.081,     47.870,     18.614,      891.0,     1081.7,       5.38,    50.2000,    41.1640,          3,     70.410,       88.5,       27.5,     1013.9,   0.995769,   1.000000,   1.008816,   0.002521
