###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010

Used EcuDefinition file: MED9_0261S02469.ecu

ECU identified with following data:
HWNumber    = 1K0907115S       (requested was 1K0907115S)
SWNumber    = 0261S02469       (requested was 0261S02469)
PartNumber  = 1K0907115S       (requested was 1K0907115S)
SWVersion   = 0001             (requested was 0001)
EngineId    = 2.0L R4/4V TFSI  (requested was 2.0L R4/4V TFSI)
VAGHWNumber = 1K0907115S
ModelId     = MED9.1

Log packet size: 40 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  15.06.2024 14:23:17.500

TIME          , nmot_w        , rl_w          , rlsol_w       , mshfm_w       , uhfm_w        , pvdks_w       , plsol_w       , pssol_w       , ldtvm         , fr_w          , fra_w         , lamsbg_w      , lamsoni_w     , ti_w          , wped_w        , wdkba         , B_lr          , gangi         , vfil_w        , tmot          , tans          , pus_w         , rl            , zwist         , prist_w       
sec.ms        , 1/min         , %             , %             , kg/h          , V             , hPa           , hPa           , hPa           , %TV           , -             , -             , -             , -             , s             , % PED         , % DK          ,               , gear          , km/h          , Grad C        , Grad C        , hPa           , %             , Grad KW       , MPa           
"TIME","EngineSpeed","EngineLoad","EngineLoadRequested","MassAirFlow","MAFVoltage","BoostPressureActual","BoostPressureSpecified","RequestedPressure","WastegateDutyCycle","LambdaControl","AdaptationPartial","AirFuelRatioRequired","AirFuelRatioCurrent","InjectionTime","AccelPedalPosition","ThrottlePlateAngle","LambdaControlActive","SelectedGear","VehicleSpeed","CoolantTemperature","IntakeAirTemperature","AtmosphericPressure","ActualLoad","IgnitionTimingAngle","RailPressure"
     0.000,     1997.8,     40.046,     40.895,     11.959,    1.67751,      897.4,     1013.0,     1013.0,       0.00,   0.999362,   0.977065,   1.000000,   1.007020,   0.002416,    30.0000,    25.5000,          1,          3,     47.932,       88.5,       28.1,     1012.3,     39.594,      29.72,   0.107711
     0.050,     2011.1,     40.625,     41.384,     12.234,    1.68172,      923.6,     1013.0,     1013.0,       0.00,   0.992732,   0.979388,   1.000000,   1.005318,   0.002452,    30.7500,    26.1375,          1,          3,     47.407,       88.5,       28.3,     1011.5,     39.412,      28.89,   0.109039
     0.100,     2037.6,     41.614,     42.370,     12.829,    1.70368,      883.5,     1013.0,     1013.0,       0.00,   1.004237,   0.978036,   1.000000,   0.987809,   0.002472,    31.5000,    26.7750,          1,          3,     48.802,       88.5,       28.3,     1012.4,     40.980,      28.90,   0.107937
     0.150,     2074.6,     42.914,     43.116,     13.047,    1.73531,      909.0,     1013.0,     1013.0,       0.00,   0.994506,   0.981506,   1.000000,   0.991807,   0.002611,    32.2500,    27.4125,          1,          3,     48.929,       88.5,       28.5,     1011.5,     42.325,      29.37,   0.109011
     0.200,     2110.2,     43.261,     44.346,     13.905,    1.71849,      894.3,     1013.0,     1013.0,       0.00,   1.003100,   0.978806,   1.000000,   1.023214,   0.002581,    33.0000,    28.0500,          1,          3,     49.643,       88.5,       27.8,     1011.1,     43.036,      28.48,   0.107798
     0.250,     2126.8,     45.223,     45.888,     14.714,    1.72039,      907.5,     1013.0,     1013.0,       0.00,   1.000840,   0.982126,   1.000000,   1.002614,   0.002737,    33.7500,    28.6875,          1,          3,     50.881,       88.5,       29.1,     1012.6,     45.532,      28.88,   0.109262
     0.300,     2183.4,     45.953,     46.836,     14.751,    1.71866,      890.7,     1013.0,     1013.0,       0.00,   1.004082,   0.981350,   1.000000,   1.014233,   0.002641,    34.5000,    29.3250,          1,          3,     52.736,       88.5,       27.4,     1012.6,     46.837,      28.19,   0.110018
     0.350,     2221.8,     48.303,     47.972,     15.890,    1.71677,      893.4,     1013.0,     1013.0,       0.00,   0.993952,   0.981735,   1.000000,   1.002199,   0.002859,    35.2500,    29.9625,          1,          3,     52.996,       88.5,       29.0,     1011.3,     48.125,      28.86,   0.112032
     0.400,     2254.1,     49.294,     49.333,     16.903,    1.75445,      927.6,     1013.0,     1013.0,       0.00,   0.993759,   0.980383,   1.000000,   0.994784,   0.002937,    36.0000,    30.6000,          1,          3,     53.975,       88.5,       28.5,     1014.5,     49.115,      27.19,   0.112046
     0.450,     2311.3,     50.793,     52.773,     17.687,    1.77398,      908.2,     1013.0,     1013.0,       0.00,   1.005667,   0.980172,   1.000000,   0.992997,   0.003081,    36.7500,    31.2375,          1,          3,     54.700,       88.5,       28.1,     1014.5,     50.708,      28.34,   0.111533
     0.500,     2336.3,     52.449,     53.118,     18.189,    1.74222,      921.5,     1013.0,     1013.0,       0.00,   1.001149,   0.978808,   1.000000,   1.002994,   0.003185,    37.5000,    31.8750,          1,          3,     56.157,       88.5,       28.0,     1012.2,     52.452,      28.08,   0.111107
     0.550,     2400.4,     53.558,     54.742,     19.431,    1.80964,      889.6,     1013.0,     1013.0,       0.00,   1.001904,   0.980005,   1.000000,   0.992873,   0.003369,    38.2500,    32.5125,          1,          3,     56.949,       88.5,       29.3,     1012.6,     53.911,      27.04,   0.108682
     0.600,     2424.2,     55.438,     58.166,     20.227,    1.79831,      887.6,     1013.0,     1013.0,       0.00,   0.989475,   0.983925,   1.000000,   1.002025,   0.003305,    39.0000,    33.1500,          1,          3,     57.143,       88.5,       27.7,     1013.5,     55.659,      28.26,   0.112991
     0.650,     2507.4,     57.155,     58.152,     20.474,    1.79924,      895.4,     1013.0,     1013.0,       0.00,   1.002328,   0.976164,   1.000000,   1.012402,   0.003408,    39.7500,    33.7875,          1,          3,     58.574,       88.5,       28.0,     1013.5,     57.165,      26.59,   0.112924
     0.700,     2526.6,     58.985,     59.330,     21.781,    1.80558,      879.3,     1013.0,     1013.0,       0.00,   0.988439,   0.979347,   1.000000,   1.006434,   0.003536,    40.5000,    34.4250,          1,          3,     59.730,       88.5,       28.9,     1014.0,     58.685,      29.41,   0.113380
     0.750,     2576.0,     60.437,     60.342,     23.409,    1.85683,      899.4,     1013.0,     1013.0,       0.00,   1.011581,   0.982953,   1.000000,   0.997781,   0.003497,    41.2500,    35.0625,          1,          3,     60.036,       88.5,       28.0,     1012.9,     60.174,      25.89,   0.111546
     0.800,     2613.6,     61.131,     62.441,     23.164,    1.85355,      878.0,     1013.0,     1013.0,       0.00,   1.004965,   0.981550,   1.000000,   1.003701,   0.003678,    42.0000,    35.7000,          1,          3,     60.922,       88.5,       28.1,     1013.3,     61.314,      25.71,   0.113823
     0.850,     2661.1,     64.273,     64.978,     26.047,    1.89143,      906.7,     1013.0,     1013.0,       0.00,   0.997043,   0.979863,   1.000000,   0.994924,   0.003691,    42.7500,    36.3375,          1,          3,     62.888,       88.5,       28.4,     1011.8,     63.305,      26.36,   0.112481
     0.900,     2710.5,     63.362,     65.210,     27.295,    1.92027,      886.2,     1013.0,     1013.0,       0.00,   1.002764,   0.979201,   1.000000,   0.980973,   0.003881,    43.5000,    36.9750,          1,          3,     65.247,       88.5,       29.1,     1014.8,     63.351,      26.39,   0.113462
     0.950,     2740.1,     66.328,     67.265,     28.213,    1.92807,      865.5,     1013.0,     1013.0,       0.00,   1.010050,   0.981262,   1.000000,   0.988588,   0.003825,    44.2500,    37.6125,          1,          3,     64.547,       88.5,       28.2,     1014.8,     65.706,      25.72,   0.113583
     1.000,     2786.2,     67.296,     70.036,     28.045,    1.93313,      903.6,     1013.0,     1013.0,       0.00,   0.995281,   0.983454,   1.000000,   1.000971,   0.004134,    45.0000,    38.2500,          1,          3,     66.855,       88.5,       27.9,     1013.6,     67.749,      25.91,   0.113376
     1.050,     2852.4,     69.370,     71.902,     30.056,    1.96396,      896.7,     1013.0,     1013.0,       0.00,   0.995701,   0.978157,   1.000000,   0.998834,   0.004102,    45.7500,    38.8875,          1,          3,     67.637,       88.5,       27.1,     1012.6,     69.350,      23.97,   0.112759
     1.100,     2879.7,     71.654,     71.900,     30.892,    1.95436,      895.5,     1013.0,     1013.0,       0.00,   0.996206,   0.983502,   1.000000,   0.992316,   0.004245,    46.5000,    39.5250,          1,          3,     69.191,       88.5,       28.4,     1014.4,     70.586,      25.70,   0.113248
     1.150,     2916.5,     72.081,     74.184,     31.634,    1.99812,      885.7,     1013.0,     1013.0,       0.00,   1.000010,   0.977665,   1.000000,   1.008224,   0.004402,    47.2500,    40.1625,          1,          3,     70.014,       88.5,       28.1,     1012.4,     73.303,      25.07,   0.113788
     1.200,     2975.6,     74.967,     75.781,     32.636,    2.00336,      889.1,     1013.0,     1013.0,       0.00,   0.998337,   0.978763,   1.000000,   0.984839,   0.004454,    48.0000,    40.8000,          1,          3,     69.976,       88.5,       28.4,     1013.5,     75.201,      23.83,   0.115068
     1.250,     3054.0,     75.459,     77.187,     34.252,    2.01202,     1022.3,     1022.0,     1022.0,       0.74,   0.991427,   0.981617,   1.000000,   1.000104,   0.004601,    48.7500,    41.4375,          1,          3,     73.302,       88.5,       27.0,     1013.5,     74.587,      22.27,   0.116442
     1.300,     3085.2,     76.508,     78.218,     34.546,    2.03976,     1021.2,     1042.3,     1042.3,       0.66,   0.998863,   0.977720,   1.000000,   0.991316,   0.004693,    49.5000,    42.0750,          1,          3,     72.994,       88.5,       28.8,     1013.1,     76.342,      23.51,   0.114183
     1.350,     3133.8,     78.773,     80.145,     37.317,    2.06766,     1056.4,     1062.5,     1062.5,       3.36,   1.004348,   0.978964,   1.000000,   0.998806,   0.004718,    50.2500,    42.7125,          1,          3,     74.556,       88.5,       27.7,     1013.3,     77.351,      24.41,   0.115979
     1.400,     3178.6,     78.839,     80.845,     37.470,    2.08387,     1068.3,     1082.8,     1082.8,       4.53,   0.999603,   0.980146,   1.000000,   0.986655,   0.004729,    51.0000,    43.3500,          1,          3,     74.140,       88.5,       27.8,     1013.1,     80.982,      23.28,   0.117644
     1.450,     3197.4,     81.169,     84.306,     38.749,    2.10813,     1104.1,     1103.0,     1103.0,       7.59,   1.001699,   0.978997,   1.000000,   0.995047,   0.004930,    51.7500,    43.9875,          1,          3,     76.376,       88.5,       28.4,     1013.8,     82.761,      23.41,   0.116204
     1.500,     3265.1,     83.702,     86.038,     41.383,    2.12221,     1125.6,     1123.3,     1123.3,       9.01,   1.000119,   0.976299,   1.000000,   0.990261,   0.005014,    52.5000,    44.6250,          1,          3,     76.471,       88.5,       27.2,     1012.0,     82.433,      23.40,   0.117197
     1.550,     3263.3,     85.725,     87.886,     42.501,    2.13908,     1141.1,     1143.5,     1143.5,      10.25,   1.005301,   0.978735,   1.000000,   1.010440,   0.005081,    53.2500,    45.2625,          1,          3,     77.947,       88.5,       28.6,     1010.6,     85.301,      22.83,   0.116406
     1.600,     3358.0,     87.617,     89.166,     44.592,    2.18993,     1157.1,     1163.8,     1163.8,      11.15,   0.999567,   0.979239,   1.000000,   0.997388,   0.005150,    54.0000,    45.9000,          1,          3,     81.057,       88.5,       29.1,     1013.2,     85.941,      21.91,   0.115810
     1.650,     3356.1,     88.050,     89.137,     43.951,    2.15852,     1189.0,     1184.0,     1184.0,      13.97,   0.992466,   0.983931,   1.000000,   1.010886,   0.005464,    54.7500,    46.5375,          1,          3,     78.399,       88.5,       27.9,     1014.8,     87.314,      22.07,   0.116204
     1.700,     3402.1,     90.146,     91.512,     46.763,    2.19648,     1186.3,     1204.3,     1204.3,      13.93,   1.001034,   0.979271,   1.000000,   1.019407,   0.005452,    55.5000,    47.1750,          1,          3,     81.854,       88.5,       27.7,     1013.4,     91.437,      21.29,   0.117378
     1.750,     3472.1,     90.970,     92.027,     47.369,    2.19358,     1245.8,     1224.5,     1224.5,      17.63,   1.000775,   0.982686,   1.000000,   1.024272,   0.005577,    56.2500,    47.8125,          1,          3,     82.704,       88.5,       28.3,     1013.4,     91.170,      21.26,   0.116302
     1.800,     3501.6,     93.021,     95.367,     48.503,    2.20453,     1232.5,     1244.8,     1244.8,      17.65,   1.000000,   0.979955,   0.820000,   0.816666,   0.005481,    57.0000,    48.4500,          0,          3,     84.086,       88.5,       27.1,     1012.6,     93.282,      21.96,   0.118330
     1.850,     3572.0,     94.669,     96.639,     50.677,    2.28743,     1244.8,     1265.0,     1265.0,      18.11,   1.000000,   0.979814,   0.820000,   0.817071,   0.005727,    57.7500,    49.0875,          0,          3,     84.617,       88.5,       28.7,     1012.8,     94.441,      21.00,   0.119214
     1.900,     3610.4,     97.197,     97.694,     51.118,    2.28740,     1295.4,     1285.3,     1285.3,      22.89,   1.000000,   0.977927,   0.820000,   0.804634,   0.005794,    58.5000,    49.7250,          0,          3,     85.052,       88.5,       28.7,     1013.6,     96.691,      21.19,   0.119390
     1.950,     3637.4,     96.691,     99.551,     53.168,    2.30904,     1295.2,     1305.5,     1305.5,      21.32,   1.000000,   0.980243,   0.820000,   0.819685,   0.005705,    59.2500,    50.3625,          0,          3,     87.512,       88.5,       28.5,     1012.9,     96.779,      20.25,   0.119766
     2.000,     3701.5,    100.412,    101.330,     52.382,    2.28986,     1323.7,     1325.8,     1325.8,      24.35,   1.000000,   0.979389,   0.820000,   0.830897,   0.005901,    60.0000,    51.0000,          0,          3,     87.570,       88.5,       28.1,     1014.6,     99.007,      19.95,   0.120083
     2.050,     3750.6,     99.577,    101.117,     54.232,    2.32110,     1334.3,     1346.0,     1346.0,      25.84,   1.000000,   0.977582,   0.820000,   0.797674,   0.005815,    60.7500,    51.6375,          0,          3,     88.744,       88.5,       28.2,     1013.8,    100.891,      19.57,   0.118836
     2.100,     3785.3,    103.531,    104.800,     58.762,    2.36755,     1364.6,     1366.3,     1366.3,      27.84,   1.000000,   0.982161,   0.820000,   0.796426,   0.006097,    61.5000,    52.2750,          0,          3,     90.734,       88.5,       29.2,     1014.4,    103.165,      19.45,   0.120002
     2.150,     3835.1,    104.619,    105.793,     58.344,    2.36632,     1438.5,     1386.5,     1386.5,      32.80,   1.000000,   0.983189,   0.820000,   0.808522,   0.006295,    62.2500,    52.9125,          0,          3,     90.529,       88.5,       27.8,     1013.0,    103.509,      20.33,   0.119086
